price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,PriceCategory
88990,9,12,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
159990,13,4,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
39490,8,1,1,0,15.6,4.0,29.0,2.0,1
150990,18,14,3,0,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
241990,25,14,3,3,16.2,4.8,119.0,14.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
56749,12,12,0,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
247990,13,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
181990,19,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
114990,15,11,0,3,13.3,3.8,6.0,1.0,2
146990,23,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
149990,15,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
51532,9,3,0,0,15.6,4.0,32.0,14.0,2
52490,11,1,1,0,15.6,4.1,23.0,4.0,2
244990,15,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,18,14,3,2,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
77990,9,4,0,0,15.6,4.5,97.0,10.0,2
139990,10,0,8,3,16.0,4.3,8.0,0.0,2
59990,0,1,4,0,15.6,4.4,263.0,22.0,2
84990,11,12,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
70900,0,11,1,0,14.0,4.7,3.0,0.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
35699,1,1,1,2,15.6,4.0,5.0,0.0,1
84990,15,0,1,0,14.0,3.9,45.0,9.0,2
128000,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
43500,1,1,1,0,15.6,3.9,93.0,10.0,1
58226,0,0,8,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
103490,10,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
60990,0,6,1,0,13.3,4.4,72.0,9.0,2
150450,15,3,1,0,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
39990,1,1,1,0,15.6,4.1,48.0,2.0,1
139999,34,0,1,3,15.6,5.0,7.0,1.0,2
156490,15,4,1,3,15.6,5.0,4.0,0.0,2
78990,13,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
16490,6,2,1,7,14.1,3.8,689.0,92.0,0
171990,13,4,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
250000,28,0,4,3,15.6,4.0,5.0,2.0,2
151990,19,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
57990,0,1,1,0,15.6,3.7,10.0,0.0,2
71990,11,1,4,0,14.96,4.284883720930233,718.0915697674419,83.89825581395348,2
80990,13,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
46990,35,0,1,0,14.0,4.2,1232.0,119.0,2
73990,9,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
88990,11,4,1,0,15.6,3.6,11.0,0.0,2
145499,15,11,1,0,16.0,3.7,3.0,0.0,2
33990,1,6,1,0,15.6,4.2,197.0,43.0,1
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
275990,15,9,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
39990,1,1,4,0,15.6,4.4,44.0,1.0,1
58800,36,17,4,2,13.3,4.3,6.0,3.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
101490,10,0,4,3,15.6,4.5,499.0,63.0,2
219894,25,14,3,3,14.2,4.8,119.0,14.0,2
69990,11,1,1,0,15.6,4.7,3.0,0.0,2
41990,1,1,8,6,15.6,3.6,25.0,4.0,1
57990,13,1,4,0,14.0,4.3,74.0,7.0,2
162990,13,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
89990,15,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
72790,11,1,4,0,15.6,4.6,213.0,36.0,2
60130,0,1,4,1,15.6,4.1,85.0,5.0,2
74990,37,0,4,0,15.6,4.6,893.0,173.0,2
157990,13,4,1,3,15.6,4.0,4.0,0.0,2
284990,13,8,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
59490,10,0,0,0,15.6,4.6,5.0,0.0,2
58490,0,1,0,0,15.6,4.0,3.0,2.0,2
254990,23,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
218290,13,4,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
29990,3,2,4,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,0
98060,13,0,1,3,13.3,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
87390,28,1,4,1,15.6,4.3,273.0,41.0,2
171990,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
214790,28,0,4,3,15.6,4.1,13.0,4.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
199990,28,0,4,0,15.6,4.9,12.0,0.0,2
85490,9,0,0,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
61990,0,1,7,2,14.0,4.7,3.0,0.0,2
249900,26,14,3,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
59990,28,1,4,0,14.0,4.2,569.0,59.0,2
204000,13,9,1,4,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
61890,0,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
229990,15,8,1,4,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
399990,19,9,1,9,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
74990,9,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
132765,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
46990,0,1,4,6,14.0,3.7,337.0,35.0,2
174990,23,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
42690,1,1,1,2,14.96,4.4,171.0,18.0,1
59990,17,1,4,0,15.6,4.4,2208.0,248.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
222990,25,14,3,0,16.2,4.8,119.0,14.0,2
42990,12,1,0,0,15.6,3.8,5.0,2.0,1
156090,28,16,4,5,15.6,4.4,316.0,53.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
69890,2,1,4,0,15.6,4.3,333.0,29.0,2
63990,13,0,1,0,15.6,4.6,58.0,7.0,2
108990,15,4,1,0,15.6,4.0,12.0,4.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
304980,19,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
84790,13,0,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,18,14,3,2,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
58500,11,1,4,0,15.6,4.4,2239.0,299.0,2
33200,8,1,1,0,15.6,4.1,264.0,31.0,1
41890,7,1,1,0,15.6,3.9,8.0,0.0,1
210990,23,4,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
176490,15,4,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
35990,3,2,1,2,14.0,4.2,66.0,8.0,1
130990,15,11,1,0,13.5,4.284883720930233,718.0915697674419,83.89825581395348,2
71990,11,1,1,0,15.6,4.6,110.0,22.0,2
105990,13,4,1,3,15.6,4.5,90.0,18.0,2
58900,0,1,4,0,15.6,4.1,45.0,10.0,2
210990,34,0,4,3,16.0,4.7,3.0,0.0,2
65990,38,0,1,0,15.6,4.0,4.0,1.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
150490,28,0,4,4,15.6,4.7,21.0,5.0,2
42490,3,2,1,1,14.0,4.2,50.0,4.0,1
131990,18,7,3,0,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
18990,6,10,7,0,11.6,3.6,387.0,51.0,0
78190,0,6,4,3,13.3,4.5,22.0,3.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
329990,15,3,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
34990,8,1,0,0,15.6,4.4,405.0,48.0,1
119990,34,0,1,3,15.6,4.4,57.0,7.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
70430,0,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
69290,2,1,2,6,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
18990,6,2,1,6,11.6,4.0,20.0,1.0,0
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
249900,26,14,3,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
39490,1,1,1,2,15.6,4.0,5.0,0.0,1
64990,9,1,1,0,15.6,4.3,302.0,36.0,2
38290,1,1,1,0,14.0,3.9,37.0,1.0,1
84990,9,0,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
30990,3,6,1,2,14.0,4.3,4379.0,580.0,1
163990,39,17,3,0,13.3,4.2,107.0,13.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
41999,6,2,1,2,14.0,4.5,24.0,6.0,1
55990,11,1,4,0,15.6,4.4,61.0,7.0,2
54890,2,1,4,10,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
114990,9,4,0,0,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
88890,13,0,1,0,14.0,4.5,14.0,2.0,2
54990,40,0,0,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
40690,1,1,4,2,14.0,4.1,9.0,1.0,1
24290,6,2,1,7,11.6,4.1,197.0,18.0,0
111500,13,4,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
74990,9,0,0,0,15.6,4.0,4.0,0.0,2
54990,41,0,0,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,18,7,3,0,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
209990,15,9,1,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
37990,2,6,1,0,14.0,4.2,713.0,103.0,1
158990,13,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
37890,3,1,8,2,14.0,5.0,4.0,0.0,1
92990,9,4,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
233990,28,18,4,4,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
127490,15,4,1,0,15.6,3.8,12.0,6.0,2
193990,15,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
129999,36,1,4,11,15.6,4.5,3221.0,691.0,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
78061,11,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
98246,42,0,4,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
157990,13,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
185790,43,0,4,0,15.6,4.8,5.0,1.0,2
41290,1,1,4,2,14.96,4.2,534.0,59.0,1
38690,8,1,1,2,15.6,4.7,6.0,0.0,1
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
71990,0,1,8,0,15.6,4.4,395.0,43.0,2
72490,2,1,1,0,15.6,4.3,29.0,6.0,2
61999,9,1,1,0,15.6,3.7,3.0,0.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
105990,23,0,8,0,15.6,4.4,87.0,12.0,2
206990,10,0,4,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
119990,15,0,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
239990,15,9,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,11,1,1,0,15.6,4.3,43.0,7.0,2
189990,13,9,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
42690,17,1,4,2,15.6,4.0,318.0,28.0,1
73990,0,0,4,0,15.6,4.5,256.0,45.0,2
82990,11,12,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
59990,12,1,0,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
115990,13,0,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
214990,28,16,4,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
93900,13,0,4,0,15.6,4.4,5.0,1.0,2
58499,37,1,4,0,15.6,4.5,4351.0,596.0,2
50983,11,0,1,0,15.6,4.8,10.0,0.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
219990,19,4,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
47090,17,1,4,0,14.0,4.4,17.0,2.0,2
66990,43,19,4,0,13.3,4.3,40.0,4.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
40200,3,2,4,2,15.6,3.9,50.0,1.0,1
47990,12,1,0,0,14.0,4.3,39.0,9.0,2
59990,13,1,4,0,15.6,5.0,3.0,0.0,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
77070,9,0,0,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
51890,0,1,1,0,15.6,4.2,283.0,17.0,2
61249,2,2,4,6,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
35500,27,2,1,2,15.6,4.1,123.0,18.0,1
107690,13,4,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,13,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
28490,8,1,0,0,14.0,4.4,17.0,3.0,0
64990,9,1,1,0,15.6,4.0,123.0,15.0,2
146490,44,1,4,1,15.6,3.0,2.0,1.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
60090,9,1,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
34990,7,1,0,8,15.6,4.284883720930233,718.0915697674419,83.89825581395348,1
40699,1,1,0,0,15.6,4.1,29.0,2.0,1
71999,2,1,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
69990,0,1,1,0,14.0,4.8,5.0,0.0,2
62990,0,1,0,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
63090,0,1,4,0,35.0,3.9,89.0,9.0,2
98990,13,0,4,12,15.6,4.5,413.0,63.0,2
107990,13,0,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
48999,3,2,8,1,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
57890,0,1,4,0,15.6,3.9,117.0,15.0,2
88490,9,0,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
99850,13,4,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
48999,3,2,8,1,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
40890,1,1,4,2,15.6,4.0,53.0,4.0,1
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
40690,3,1,1,0,15.6,4.0,212.0,30.0,1
170990,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
170990,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
71857,0,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
154990,28,18,4,3,14.0,5.0,3.0,0.0,2
100500,39,1,4,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
94075,9,1,0,1,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
249900,26,14,3,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
79990,2,19,4,0,13.3,4.4,11.0,3.0,2
115999,15,3,0,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
27990,8,2,1,0,15.6,4.2,100.0,14.0,0
98990,45,0,0,0,16.6,4.5,6.0,1.0,2
42990,0,6,1,0,15.6,4.3,47.0,11.0,1
44190,3,1,1,2,14.96,4.3,56.0,5.0,1
79990,0,11,1,0,14.0,5.0,3.0,0.0,2
96990,13,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
42990,3,1,4,0,14.0,4.1,105.0,10.0,1
234990,28,16,4,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
85990,11,0,0,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
22990,6,10,6,0,15.6,4.0,926.0,150.0,0
107331,15,3,0,0,14.0,4.6,43.0,9.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
38990,1,2,4,2,15.0,4.3,164.0,14.0,1
37990,8,1,1,0,15.6,4.3,3881.0,400.0,1
150990,23,0,0,3,15.6,4.9,8.0,2.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
76990,13,1,4,0,15.6,4.4,145.0,21.0,2
79000,11,0,1,0,13.3,4.5,13.0,0.0,2
84198,11,1,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
42990,7,1,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,1
177900,13,8,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
62490,11,1,4,1,15.6,4.5,1763.0,254.0,2
79990,9,0,1,0,14.0,3.9,12.0,1.0,2
151990,23,3,0,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
30990,1,6,1,2,15.6,4.2,126.0,23.0,1
147990,13,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
37490,1,1,1,2,15.6,4.3,818.0,95.0,1
118990,15,0,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
39990,1,1,1,2,14.0,4.3,2959.0,316.0,1
234990,23,20,4,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
171990,13,4,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
94990,0,11,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
66990,11,1,4,0,15.6,4.4,2511.0,240.0,2
40788,1,1,1,1,15.6,4.1,145.0,9.0,1
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
42500,1,1,0,6,15.6,4.3,7.0,0.0,1
60990,11,1,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
58990,2,1,1,0,15.6,4.4,502.0,47.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
119990,28,0,4,1,15.6,4.5,2052.0,318.0,2
105990,10,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
184990,21,4,0,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
192990,10,16,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
38999,8,1,1,2,15.6,4.3,3881.0,400.0,1
135990,10,0,4,3,15.6,4.3,58.0,9.0,2
68490,0,1,1,1,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
88390,10,0,4,3,14.0,4.5,571.0,73.0,2
113104,15,4,1,0,13.3,3.7,3.0,2.0,2
114990,13,3,1,3,13.4,5.0,3.0,0.0,2
56000,11,1,4,0,15.6,4.4,12223.0,1239.0,2
149990,15,12,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
